"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"5886-1","Ultrapassar pela direita veículo de transporte coletivo ou de escolares parado p/embarque ou desemb de passageiros salvo quando houver refúgio de segurança p/o pedestre.","200","Condutor","191,54","Gravíssima",""
"5924-1","Ultrapassar pela contra-mão outro veículo nas curvas sem visibilidade suficiente.","203, I","Condutor","191,54","Gravíssima",""
"5924-2","Ultrapassar pela contra-mão outro veículo nos aclives sem visibilidade suficiente.","203, I","Condutor","191,54","Gravíssima",""
"5924-3","Ultrapassar pela contra-mão outro veículo nos declives sem visibilidade suficiente.","203, I","Condutor","191,54","Gravíssima",""
"5932-1","Ultrapassar pela contra-mão outro veículo nas faixas de pedestre.","203 II","Condutor","191,54","Gravíssima",""
"5940-1","Ultrapassar pela contra-mão outro veículo nas pontes.","203, III","Condutor","191,54","Gravíssima",""
"5940-2","Ultrapassar pela contra-mão outro veículo nos viadutos.","203, III","Condutor","191,54","Gravíssima",""
"5940-3","Ultrapassar pela contra-mão outro veículo nos túneis.","203 , III","Condutor","191,54","Gravíssima",""
"5959-1","Ultrapassar pela contra-mão outro veículo parado em fila junto a sinais luminosos.","203, IV","Condutor","191,54","Gravíssima",""
"5959-2","Ultrapassar pela contra-mão outro veículo parado em fila junto a porteiras.","203, IV","Condutor","191,54","Gravíssima",""
"5959-3","Ultrapassar pela contra-mão outro veículo parado em fila junto a cancelas.","203 , IV","Condutor","191,54","Gravíssima",""
"5959-4","Ultrapassar pela contra-mão outro veículo parado em fila junto a cruzamentos.","203 , IV","Condutor","191,54","Gravíssima",""
"5959-5","Ultrapassar pela contra-mão outro veículo parado em fila junto a qualquer outro impedimento a livre circulação.","203 , IV","Condutor","191,54","Gravíssima",""
"5967-1","Ultrapassar pela contra-mão outro veículo onde houver marcação viária longitudinal de divisão de fluxos opostos do tipo linha dupla contínua.","203 , V","Condutor","191,54","Gravíssima",""
"5967-2","Ultrapassar pela contra-mão outro veículo onde houver marcação viária longitudinal de divisão de fluxos opostos do tipo linha simples contínua amarela.","203 , V","Condutor","191,54","Gravíssima",""
"5991-1","Executar operação de retorno em locais proibidos pela sinalização.","206, I","Condutor","191,54","Gravíssima",""
"6009-1","Executar operação de retorno nas curvas.","206, II","Condutor","191,54","Gravíssima",""
"6009-2","Executar operação de retorno nos aclives.","206, II","Condutor","191,54","Gravíssima",""
"6009-3","Executar operação de retorno nos declives.","206, II","Condutor","191,54","Gravíssima",""
"6009-4","Executar operação de retorno nas pontes.","206, II","Condutor","191,54","Gravíssima",""
"6009-5","Executar operação de retorno nos viadutos.","206, II","Condutor","191,54","Gravíssima",""
"6009-6","Executar operação de retorno nos túneis.","206, II","Condutor","191,54","Gravíssima",""
"6017-1","Executar operação de retorno passando por cima de calçada.","206, III","Condutor","191,54","Gravíssima",""
"6017-2","Executar operação de retorno passando por cima de passeio","206, III","Condutor","191,54","Gravíssima",""
"6017-3","Executar operação de retorno passando por cima de ilhas.","206, III","Condutor","191,54","Gravíssima",""
"6017-4","Executar operação de retorno passando por cima de ajardinamentos de divisões de pista de rolamento.","206, III","Condutor","191,54","Gravíssima",""
"6017-5","Executar operação de retorno passando por cima de canteiros de divisões de pista de rolamento.","206, III","Condutor","191,54","Gravíssima",""
"6017-6","Executar operação de retorno passando por cima de refúgios.","206, III","Condutor","191,54","Gravíssima",""
"6017-7","Executar operação de retorno passando por cima de faixas de pedestres.","206, III","Condutor","191,54","Gravíssima",""
"6017-8","Executar operação de retorno passando por cima de vias de veículo não motorizados.","206, III","Condutor","191,54","Gravíssima",""
"6025-1","Executar operação de retorno nas interseções, entrando na contra-mão de direção da via transversal.","206, IV","Condutor","191,54","Gravíssima",""
"6033-1","Executar operação de retorno com prejuízo da livre circulação, ainda que em locais permitidos.","206 , V","Condutor","191,54","Gravíssima",""
"6033-2","Executar operação de retorno com prejuízo da segurança, ainda que em locais permitidos.","206 , V","Condutor","191,54","Gravíssima",""
"6050-1","Avançar o sinal vermelho de semáforo.","208","Condutor","191,54","Gravíssima",""
"6050-2","Avançar o sinal de parada obrigatória.","208","Condutor","191,54","Gravíssima",""
"6076-1","Transpor, sem autorização, bloqueio viário policial.","210","Condutor","191,54","Gravíssima",""
"6092-1","Deixar de parar o veículo antes de transpor linha férrea.","212","Condutor","191,54","Gravíssima",""
"6106-1","Deixar de parar o veículo sempre que a respectiva marcha for interceptada por agrupamentos de pessoas em passeata.","213, I","Condutor","191,54","Gravíssima",""
"6106-2","Deixar de parar o veículo sempre que a respectiva marcha for interceptada por agrupamentos de pessoas em desfile.","213, I","Condutor","191,54","Gravíssima",""
